GOOGL,AAPL,YHOO
584.669983,90.528358,35.130001
585.690002,89.602913,34.25
584.77002,88.550822,33.66
585.929993,88.024776,33.25
572.539978,87.946842,33.48
574.289978,88.482631,33.639999
566.52002,88.560565,34.049999
564.98999,89.486011,34.68
560.659973,89.797741,34.939999
550.619995,89.700327,34.43
552.299988,89.817221,34.810001
560.349976,88.920999,36.939999
559.5,89.904899,36.779999
567.5,91.434324,36.630001
568.299988,91.814244,36.310001
570.72998,91.278455,36.040001
566.030029,89.840885,35.919998
564.929993,90.088594,34.939999
553.76001,89.736507,34.73
554.51001,88.723383,34.650002
564.340027,87.486208,34.869999
571.650024,88.091577,34.650002
570.559998,88.422787,34.900002
570.450012,86.840481,34.779999
574.869995,87.06593,35.119999
563.799988,85.465527,35.02
555.450012,84.510851,34.700001
549.700012,84.377257,34.360001
540.390015,84.154595,33.869999
538.830017,84.137894,33.889999
528.299988,83.152604,33.41
529.119995,81.943255,33.799999
534.409973,82.646039,34.169998
541.539978,82.630736,34.400002
538.429993,82.501311,34.450001
526.619995,81.486798,33.759998
520.169983,81.827751,33.919998
518,81.97387,34.07
522.570007,82.261732,36.490002
535.330017,83.168195,36.91
533.869995,82.008474,36.869999
538.530029,81.856243,36.509998
534.880005,81.663872,35.950001
536.330017,81.97387,35.830002
522.97998,82.217446,33.990002
523.099976,79.152052,34.48
534.440002,78.57496,35.240002
537.51001,72.621327,35.439999
545.5,73.583154,36.139999
539.369995,73.509807,36.400002
543.340027,72.647624,36.380001
563.900024,71.826956,36.349998
548.700012,71.681642,34.209999
545.200012,72.196458,33.450001
537.76001,71.909993,32.869999
546.690002,72.44557,33.400002
567.039978,73.392172,34.869999
557.51001,72.440034,33.830002
540.630005,72.444181,33.07
545.25,73.599762,34.259998
571.5,74.564354,35.759998
568.11811,75.084706,36.639999
568.013008,74.960154,36.490002
557.812812,74.280645,35.900002
560.635627,74.297252,35.900002
557.6977,74.38029,35.59
566.551582,74.70136,35.450001
579.939949,75.422383,35.93
579.544563,74.619712,36.68
592.112129,73.745068,37.939999
599.179207,73.167976,37.77
600.225227,73.52226,38.610001
606.236275,73.541632,39.450001
596.646675,72.896728,39.110001
586.987007,72.613019,37.599998
595.12513,73.437841,37.23
604.25428,74.262655,37.5
600.595589,74.19069,37.560001
606.391426,73.475202,38.049999
608.002999,73.40878,38.700001
610.415413,73.451677,39.66
609.739754,73.674492,39.5
608.063057,73.519489,39.630001
601.946968,73.037888,38.25
608.433418,72.827527,38.669998
610.215218,73.025434,38.470001
610.695687,71.597223,37.619999
610.610604,72.249052,37.259998
606.861885,73.008826,37.419998
602.497505,72.690521,37.290001
602.657662,73.507035,37.790001
601.771797,74.367836,37.810001
606.046028,75.560779,38.310001
602.002022,75.283995,38.23
600.550545,75.344882,38.52
593.938972,74.167165,38.110001
595.685677,74.1727,38.5
587.052071,73.208108,37.759998
589.309334,71.919675,37.23
580.560554,70.927404,36.240002
572.172188,70.516381,35.490002
569.649666,69.993622,35.66
567.282295,68.994868,34.900002
591.076057,68.866928,36.009998
568.263252,68.754123,35.310001
554.014045,68.887566,34.889999
562.067085,69.678584,38.220001
551.166206,75.731617,36.650002
562.477485,75.122186,37.91
580.630623,76.513003,39.389999
583.093086,75.870555,40.18
582.432442,75.534887,39.52
575.840828,74.379312,40.009998
578.688667,76.247499,40.34
574.884895,76.675334,41.07
575.275276,75.166209,41.139999
562.05207,73.699725,39.990002
565.655647,73.315905,41.23
565.685676,73.808402,40.919998
571.186226,74.763132,41.02
570.000007,74.292647,40.919998
559.219245,74.827786,39.93
553.053047,74.421961,40.119999
557.117134,76.093418,39.59
560.915901,77.178837,40.439999
555.285285,76.284638,40.200001
559.759773,77.050897,40.490002
559.289314,77.575037,40.650002
556.476509,78.093666,40.849998
558.1081,78.426587,40.77
550.860847,75.52801,40.119999
543.653632,74.900697,40.200001
542.917915,75.768756,40.040001
535.465461,76.349298,39.509998
537.027045,76.694598,39.73
530.92591,76.272258,39.73
535.51551,77.112802,39.349998
539.184211,77.225607,39.16
542.872871,77.802021,40.220001
539.609626,77.923084,38.869999
535.470466,77.041265,38.860001
529.199226,78.12531,38.869999
529.619636,77.726362,38.130001
527.157172,77.90795,36.560001
527.767768,75.832042,37.009998
